Weekday;Hour;Consumption(kWh);Price(€/kWh)
Monday;00;154;0.09
Monday;01;125;0.07
Monday;02;158;0.13
Monday;03;61;0.12
Monday;04;149;0.15
Monday;05;69;0.09
Monday;06;77;0.08
Monday;07;141;0.07
Monday;08;148;0.08
Monday;09;90;0.13
Monday;10;93;0.11
Monday;11;47;0.05
Monday;12;66;0.08
Monday;13;66;0.08
Monday;14;137;0.15
Monday;15;60;0.15
Monday;16;69;0.07
Monday;17;136;0.19
Monday;18;67;0.09
Monday;19;150;0.19
Monday;20;103;0.11
Monday;21;136;0.05
Monday;22;108;0.10
Monday;23;100;0.14
Tuesday;00;87;0.15
Tuesday;01;58;0.12
Tuesday;02;43;0.11
Tuesday;03;74;0.13
Tuesday;04;103;0.13
Tuesday;05;88;0.062
Tuesday;06;56;0.10
Tuesday;07;83;0.08
Tuesday;08;131;0.17
Tuesday;09;69;0.12
Tuesday;10;132;0.19
Tuesday;11;85;0.10
Tuesday;12;156;0.17
Tuesday;13;45;0.16
Tuesday;14;138;0.07
Tuesday;15;144;0.12
Tuesday;16;76;0.15
Tuesday;17;63;0.17
Tuesday;18;132;0.09
Tuesday;19;152;0.08
Tuesday;20;85;0.15
Tuesday;21;92;0.17
Tuesday;22;134;0.10
Tuesday;23;138;0.06
Wednesday;00;99;0.19
Wednesday;01;136;0.10
Wednesday;02;155;0.12
Wednesday;03;102;0.17
Wednesday;04;124;0.15
Wednesday;05;71;0.16
Wednesday;06;126;0.08
Wednesday;07;72;0.13
Wednesday;08;106;0.15
Wednesday;09;57;0.08
Wednesday;10;64;0.07
Wednesday;11;145;0.19
Wednesday;12;134;0.12
Wednesday;13;93;0.08
Wednesday;14;97;0.19
Wednesday;15;106;0.19
Wednesday;16;143;0.13
Wednesday;17;85;0.18
Wednesday;18;63;0.07
Wednesday;19;153;0.09
Wednesday;20;71;0.15
Wednesday;21;86;0.17
Wednesday;22;125;0.17
Wednesday;23;62;0.11
Thursday;00;80;0.10
Thursday;01;9;0.17
Thursday;02;26;0.19
Thursday;03;79;0.16
Thursday;04;36;0.15
Thursday;05;5;0.13
Thursday;06;37;0.10
Thursday;07;19;0.19
Thursday;08;58;0.19
Thursday;09;28;0.09
Thursday;10;47;0.09
Thursday;11;85;0.1
Thursday;12;99;0.11
Thursday;13;39;0.19
Thursday;14;11;0.07
Thursday;15;4;0.05
Thursday;16;64;0.12
Thursday;17;59;0.18
Thursday;18;29;0.07
Thursday;19;45;0.09
Thursday;20;15;0.15
Thursday;21;6;0.17
Thursday;22;71;0.17
Thursday;23;3;0.11
Friday;00;99;0.89
Friday;01;136;0.80
Friday;02;155;0.82
Friday;03;102;0.76
Friday;04;124;0.03
Friday;05;71;0.58
Friday;06;126;0.41
Friday;07;72;0.30
Friday;08;106;0.60
Friday;09;57;0.38
Friday;10;64;0.78
Friday;11;145;0.44
Friday;12;134;0.52
Friday;13;93;0.61
Friday;14;97;0.99
Friday;15;106;0.87
Friday;16;143;0.48
Friday;17;85;0.65
Friday;18;63;0.14
Friday;19;153;0.94
Friday;20;71;0.34
Friday;21;86;0.93
Friday;22;125;0.90
Friday;23;62;0.66
Saturnday;00;18;0.77
Saturnday;01;30;0.06
Saturnday;02;24;0.29
Saturnday;03;95;0.35
Saturnday;04;48;0.02
Saturnday;05;7;0.79
Saturnday;06;65;0.63
Saturnday;07;87;0.49
Saturnday;08;51;0.81
Saturnday;09;2;0.72
Saturnday;10;55;0.04
Saturnday;11;89;0.85
Saturnday;12;49;0.42
Saturnday;13;17;0.88
Saturnday;14;67;0.07
Saturnday;15;8;0.33
Saturnday;16;50;0.01
Saturnday;17;14;0.64
Saturnday;18;32;0.54
Saturnday;19;16;0.26
Saturnday;20;42;0.09
Saturnday;21;84;0.69
Saturnday;22;75;0.74
Saturnday;23;52;0.19
Sunday;00;67;0.39
Sunday;01;84;0.55
Sunday;02;27;0.08
Sunday;03;46;0.32
Sunday;04;16;0.20
Sunday;05;81;0.51
Sunday;06;93;0.92
Sunday;07;46;0.21
Sunday;08;91;0.98
Sunday;09;69;0.11
Sunday;10;57;0.10
Sunday;11;96;0.47
Sunday;12;62;0.25
Sunday;13;31;0.17
Sunday;14;72;0.95
Sunday;15;77;0.96
Sunday;16;94;0.12
Sunday;17;61;0.23
Sunday;18;13;0.15
Sunday;19;21;0.56
Sunday;20;54;0.37
Sunday;21;12;0.68
Sunday;22;10;0.70
Sunday;23;20;0.75
